"period_label","period_hour","time_offset_sec","timestamp","serving_bs_id","users_present","active_nodes"
"night",2,512,"2025-01-01 02:08:32","BS_4",1,1
"night",2,512,"2025-01-01 02:08:32","BS_5",0,0
"night",2,512,"2025-01-01 02:08:32","BS_6",0,0
NA,2,512,"2025-01-01 02:08:32","BS_7",0,0
NA,2,512,"2025-01-01 02:08:32","BS_8",0,0
"night",2,512,"2025-01-01 02:08:32","BS_9",1,1
"night",2,513,"2025-01-01 02:08:33","BS_1",0,0
"night",2,513,"2025-01-01 02:08:33","BS_10",1,1
"night",2,513,"2025-01-01 02:08:33","BS_11",0,0
NA,2,513,"2025-01-01 02:08:33","BS_2",0,0
NA,2,513,"2025-01-01 02:08:33","BS_3",0,0
"night",2,513,"2025-01-01 02:08:33","BS_4",1,1
"night",2,513,"2025-01-01 02:08:33","BS_5",0,0
"night",2,513,"2025-01-01 02:08:33","BS_6",0,0
NA,2,513,"2025-01-01 02:08:33","BS_7",0,0
NA,2,513,"2025-01-01 02:08:33","BS_8",0,0
"night",2,513,"2025-01-01 02:08:33","BS_9",1,1
"night",2,514,"2025-01-01 02:08:34","BS_1",0,0
"night",2,514,"2025-01-01 02:08:34","BS_10",1,1
"night",2,514,"2025-01-01 02:08:34","BS_11",0,0
NA,2,514,"2025-01-01 02:08:34","BS_2",0,0
NA,2,514,"2025-01-01 02:08:34","BS_3",0,0
"night",2,514,"2025-01-01 02:08:34","BS_4",0,0
"night",2,514,"2025-01-01 02:08:34","BS_5",0,0
"night",2,514,"2025-01-01 02:08:34","BS_6",0,0
NA,2,514,"2025-01-01 02:08:34","BS_7",0,0
NA,2,514,"2025-01-01 02:08:34","BS_8",0,0
"night",2,514,"2025-01-01 02:08:34","BS_9",1,1
"night",2,515,"2025-01-01 02:08:35","BS_1",0,0
"night",2,515,"2025-01-01 02:08:35","BS_10",1,1
"night",2,515,"2025-01-01 02:08:35","BS_11",0,0
NA,2,515,"2025-01-01 02:08:35","BS_2",0,0
NA,2,515,"2025-01-01 02:08:35","BS_3",0,0
"night",2,515,"2025-01-01 02:08:35","BS_4",0,0
"night",2,515,"2025-01-01 02:08:35","BS_5",0,0
"night",2,515,"2025-01-01 02:08:35","BS_6",0,0
NA,2,515,"2025-01-01 02:08:35","BS_7",0,0
NA,2,515,"2025-01-01 02:08:35","BS_8",0,0
"night",2,515,"2025-01-01 02:08:35","BS_9",1,1
"night",2,516,"2025-01-01 02:08:36","BS_1",0,0
"night",2,516,"2025-01-01 02:08:36","BS_10",1,1
"night",2,516,"2025-01-01 02:08:36","BS_11",0,0
NA,2,516,"2025-01-01 02:08:36","BS_2",0,0
NA,2,516,"2025-01-01 02:08:36","BS_3",0,0
"night",2,516,"2025-01-01 02:08:36","BS_4",0,0
"night",2,516,"2025-01-01 02:08:36","BS_5",0,0
"night",2,516,"2025-01-01 02:08:36","BS_6",0,0
NA,2,516,"2025-01-01 02:08:36","BS_7",0,0
NA,2,516,"2025-01-01 02:08:36","BS_8",0,0
"night",2,516,"2025-01-01 02:08:36","BS_9",1,1
"night",2,517,"2025-01-01 02:08:37","BS_1",0,0
"night",2,517,"2025-01-01 02:08:37","BS_10",0,0
"night",2,517,"2025-01-01 02:08:37","BS_11",0,0
NA,2,517,"2025-01-01 02:08:37","BS_2",0,0
NA,2,517,"2025-01-01 02:08:37","BS_3",0,0
"night",2,517,"2025-01-01 02:08:37","BS_4",0,0
"night",2,517,"2025-01-01 02:08:37","BS_5",0,0
"night",2,517,"2025-01-01 02:08:37","BS_6",1,1
NA,2,517,"2025-01-01 02:08:37","BS_7",0,0
NA,2,517,"2025-01-01 02:08:37","BS_8",0,0
"night",2,517,"2025-01-01 02:08:37","BS_9",1,1
"night",2,518,"2025-01-01 02:08:38","BS_1",0,0
"night",2,518,"2025-01-01 02:08:38","BS_10",0,0
"night",2,518,"2025-01-01 02:08:38","BS_11",0,0
NA,2,518,"2025-01-01 02:08:38","BS_2",0,0
NA,2,518,"2025-01-01 02:08:38","BS_3",0,0
"night",2,518,"2025-01-01 02:08:38","BS_4",0,0
"night",2,518,"2025-01-01 02:08:38","BS_5",0,0
"night",2,518,"2025-01-01 02:08:38","BS_6",1,1
NA,2,518,"2025-01-01 02:08:38","BS_7",0,0
NA,2,518,"2025-01-01 02:08:38","BS_8",0,0
"night",2,518,"2025-01-01 02:08:38","BS_9",1,1
"night",2,519,"2025-01-01 02:08:39","BS_1",0,0
"night",2,519,"2025-01-01 02:08:39","BS_10",0,0
"night",2,519,"2025-01-01 02:08:39","BS_11",0,0
NA,2,519,"2025-01-01 02:08:39","BS_2",0,0
NA,2,519,"2025-01-01 02:08:39","BS_3",0,0
"night",2,519,"2025-01-01 02:08:39","BS_4",0,0
"night",2,519,"2025-01-01 02:08:39","BS_5",0,0
"night",2,519,"2025-01-01 02:08:39","BS_6",1,1
NA,2,519,"2025-01-01 02:08:39","BS_7",0,0
NA,2,519,"2025-01-01 02:08:39","BS_8",0,0
"night",2,519,"2025-01-01 02:08:39","BS_9",1,1
"night",2,520,"2025-01-01 02:08:40","BS_1",0,0
"night",2,520,"2025-01-01 02:08:40","BS_10",0,0
"night",2,520,"2025-01-01 02:08:40","BS_11",0,0
NA,2,520,"2025-01-01 02:08:40","BS_2",0,0
NA,2,520,"2025-01-01 02:08:40","BS_3",0,0
"night",2,520,"2025-01-01 02:08:40","BS_4",0,0
"night",2,520,"2025-01-01 02:08:40","BS_5",0,0
"night",2,520,"2025-01-01 02:08:40","BS_6",1,1
NA,2,520,"2025-01-01 02:08:40","BS_7",0,0
NA,2,520,"2025-01-01 02:08:40","BS_8",0,0
"night",2,520,"2025-01-01 02:08:40","BS_9",1,1
"night",2,521,"2025-01-01 02:08:41","BS_1",0,0
"night",2,521,"2025-01-01 02:08:41","BS_10",1,1
"night",2,521,"2025-01-01 02:08:41","BS_11",0,0
NA,2,521,"2025-01-01 02:08:41","BS_2",0,0
NA,2,521,"2025-01-01 02:08:41","BS_3",0,0
"night",2,521,"2025-01-01 02:08:41","BS_4",0,0
"night",2,521,"2025-01-01 02:08:41","BS_5",0,0
"night",2,521,"2025-01-01 02:08:41","BS_6",1,1
NA,2,521,"2025-01-01 02:08:41","BS_7",0,0
NA,2,521,"2025-01-01 02:08:41","BS_8",0,0
"night",2,521,"2025-01-01 02:08:41","BS_9",1,1
"night",2,522,"2025-01-01 02:08:42","BS_1",0,0
"night",2,522,"2025-01-01 02:08:42","BS_10",1,1
"night",2,522,"2025-01-01 02:08:42","BS_11",0,0
NA,2,522,"2025-01-01 02:08:42","BS_2",0,0
NA,2,522,"2025-01-01 02:08:42","BS_3",0,0
"night",2,522,"2025-01-01 02:08:42","BS_4",0,0
"night",2,522,"2025-01-01 02:08:42","BS_5",0,0
"night",2,522,"2025-01-01 02:08:42","BS_6",1,1
NA,2,522,"2025-01-01 02:08:42","BS_7",0,0
NA,2,522,"2025-01-01 02:08:42","BS_8",0,0
"night",2,522,"2025-01-01 02:08:42","BS_9",1,1
"night",2,523,"2025-01-01 02:08:43","BS_1",0,0
"night",2,523,"2025-01-01 02:08:43","BS_10",1,1
"night",2,523,"2025-01-01 02:08:43","BS_11",0,0
NA,2,523,"2025-01-01 02:08:43","BS_2",0,0
NA,2,523,"2025-01-01 02:08:43","BS_3",0,0
"night",2,523,"2025-01-01 02:08:43","BS_4",0,0
"night",2,523,"2025-01-01 02:08:43","BS_5",0,0
"night",2,523,"2025-01-01 02:08:43","BS_6",2,1
NA,2,523,"2025-01-01 02:08:43","BS_7",0,0
NA,2,523,"2025-01-01 02:08:43","BS_8",0,0
"night",2,523,"2025-01-01 02:08:43","BS_9",0,0
"night",2,524,"2025-01-01 02:08:44","BS_1",0,0
"night",2,524,"2025-01-01 02:08:44","BS_10",0,0
"night",2,524,"2025-01-01 02:08:44","BS_11",0,0
NA,2,524,"2025-01-01 02:08:44","BS_2",0,0
NA,2,524,"2025-01-01 02:08:44","BS_3",0,0
"night",2,524,"2025-01-01 02:08:44","BS_4",0,0
"night",2,524,"2025-01-01 02:08:44","BS_5",0,0
"night",2,524,"2025-01-01 02:08:44","BS_6",2,1
NA,2,524,"2025-01-01 02:08:44","BS_7",0,0
NA,2,524,"2025-01-01 02:08:44","BS_8",0,0
"night",2,524,"2025-01-01 02:08:44","BS_9",0,0
"night",2,525,"2025-01-01 02:08:45","BS_1",0,0
"night",2,525,"2025-01-01 02:08:45","BS_10",0,0
"night",2,525,"2025-01-01 02:08:45","BS_11",0,0
NA,2,525,"2025-01-01 02:08:45","BS_2",0,0
NA,2,525,"2025-01-01 02:08:45","BS_3",0,0
