"time_offset_sec","BS_1","BS_10","BS_11","BS_2","BS_3","BS_4","BS_5","BS_6","BS_7","BS_8","BS_9"
489,13,11,12,9,5,11,9,13,6,5,6
490,13,11,12,9,5,11,9,13,6,5,6
491,13,11,12,9,5,11,9,13,6,5,6
492,13,11,12,9,5,11,9,13,6,5,6
493,13,11,12,9,5,11,9,13,6,5,6
494,13,11,12,9,5,11,9,13,6,5,6
495,13,11,12,9,5,11,9,13,6,5,6
496,13,11,12,9,5,11,9,13,6,5,6
497,13,11,12,9,5,11,9,13,6,5,6
498,13,11,12,9,5,11,9,13,6,5,6
499,13,11,12,9,5,11,9,13,6,5,6
500,13,11,12,9,5,11,9,13,6,5,6
501,13,11,12,9,5,11,9,13,6,5,6
502,13,11,12,9,5,11,9,13,6,5,6
503,13,11,12,9,5,11,9,13,6,5,6
504,13,11,12,9,5,11,9,13,6,5,6
505,13,11,12,9,5,11,9,13,6,5,6
506,13,11,12,9,5,11,9,13,6,5,6
507,13,11,12,9,5,11,9,13,6,5,6
508,13,11,12,9,5,11,9,13,6,5,6
509,13,11,12,9,5,11,9,13,6,5,6
510,13,11,12,9,5,11,9,13,6,5,6
511,13,11,12,9,5,11,9,13,6,5,6
512,13,11,12,9,5,11,9,13,6,5,6
513,13,11,12,9,5,11,9,13,6,5,6
514,13,11,12,9,5,11,9,13,6,5,6
515,13,11,12,9,5,11,9,13,6,5,6
516,13,11,12,9,5,11,9,13,6,5,6
517,13,11,12,9,5,11,9,13,6,5,6
518,13,11,12,9,5,11,9,13,6,5,6
519,13,11,12,9,5,11,9,13,6,5,6
520,13,11,12,9,5,11,9,13,6,5,6
521,13,11,12,9,5,11,9,13,6,5,6
522,13,11,12,9,5,11,9,13,6,5,6
523,13,11,12,9,5,11,9,13,6,5,6
524,13,11,12,9,5,11,9,13,6,5,6
525,13,11,12,9,5,11,9,13,6,5,6
526,13,11,12,9,5,11,9,13,6,5,6
527,13,11,12,9,5,11,9,13,6,5,6
528,13,11,12,9,5,11,9,13,6,5,6
529,13,11,12,9,5,11,9,13,6,5,6
530,13,11,12,9,5,11,9,13,6,5,6
531,13,11,12,9,5,11,9,13,6,5,6
532,13,11,12,9,5,11,9,13,6,5,6
533,13,11,12,9,5,11,9,13,6,5,6
534,13,11,12,9,5,11,9,13,6,5,6
535,13,11,12,9,5,11,9,13,6,5,6
536,13,11,12,9,5,11,9,13,6,5,6
537,13,11,12,9,5,11,9,13,6,5,6
538,13,11,12,9,5,11,9,13,6,5,6
539,13,11,12,9,5,11,9,13,6,5,6
540,13,11,12,9,5,11,9,13,6,5,6
541,13,11,12,9,5,11,9,13,6,5,6
542,13,11,12,9,5,11,9,13,6,5,6
543,13,11,12,9,5,11,9,13,6,5,6
544,13,11,12,9,5,11,9,13,6,5,6
545,13,11,12,9,5,11,9,13,6,5,6
546,13,11,12,9,5,11,9,13,6,5,6
547,13,11,12,9,5,11,9,13,6,5,6
548,13,11,12,9,5,11,9,13,6,5,6
549,13,11,12,9,5,11,9,13,6,5,6
550,13,11,12,9,5,11,9,13,6,5,6
551,13,11,12,9,5,11,9,13,6,5,6
552,13,11,12,9,5,11,9,13,6,5,6
553,13,11,12,9,5,11,9,13,6,5,6
554,13,11,12,9,5,11,9,13,6,5,6
555,13,11,12,9,5,11,9,13,6,5,6
556,13,11,12,9,5,11,9,13,6,5,6
557,13,11,12,9,5,11,9,13,6,5,6
558,13,11,12,9,5,11,9,13,6,5,6
559,13,11,12,9,5,11,9,13,6,5,6
560,13,11,12,9,5,11,9,13,6,5,6
561,13,11,12,9,5,11,9,13,6,5,6
562,13,11,12,9,5,11,9,13,6,5,6
563,13,11,12,9,5,11,9,13,6,5,6
564,13,11,12,9,5,11,9,13,6,5,6
565,13,11,12,9,5,11,9,13,6,5,6
566,13,11,12,9,5,11,9,13,6,5,6
567,13,11,12,9,5,11,9,13,6,5,6
568,13,11,12,9,5,11,9,13,6,5,6
569,13,11,12,9,5,11,9,13,6,5,6
570,13,11,12,9,5,11,9,13,6,5,6
571,13,11,12,9,5,11,9,13,6,5,6
572,13,11,12,9,5,11,9,13,6,5,6
573,13,11,12,9,5,11,9,13,6,5,6
574,13,11,12,9,5,11,9,13,6,5,6
575,13,11,12,9,5,11,9,13,6,5,6
576,13,11,12,9,5,11,9,13,6,5,6
577,13,11,12,9,5,11,9,13,6,5,6
578,13,11,12,9,5,11,9,13,6,5,6
579,13,11,12,9,5,11,9,13,6,5,6
580,13,11,12,9,5,11,9,13,6,5,6
581,13,11,12,9,5,11,9,13,6,5,6
582,13,11,12,9,5,11,9,13,6,5,6
583,13,11,12,9,5,11,9,13,6,5,6
584,13,11,12,9,5,11,9,13,6,5,6
585,13,11,12,9,5,11,9,13,6,5,6
586,13,11,12,9,5,11,9,13,6,5,6
587,13,11,12,9,5,11,9,13,6,5,6
588,13,11,12,9,5,11,9,13,6,5,6
589,13,11,12,10,4,11,9,13,6,5,6
590,13,11,12,9,5,11,9,13,6,5,6
591,13,11,12,9,5,11,9,13,6,5,6
592,13,11,12,9,5,11,9,13,6,5,6
